,Tiers_Key,ancienne_classe_risque,date_entree_risque,classe_risque_actuelle,date_entree_classe_risque_actuelle,code_agence,code_dr,age_tiers,anciennete,sexe_rec,segment,etat_civil,situation_contractuelle,convention,employeur_client,revenu_mensuel,rupture_revenu,mvt_debit_moyen,duree_sommeil,max_credit,min_debit,nbr_mvt_credit,nbr_mvt_debit,nbr_open_comptes,nbr_closed_comptes,nbr_abonnements,nbr_desabonnements,total_placement,nbr_placements_actifs,nbr_placements_echus,nbr_open_engagements,nbr_closed_engagements,encours_Fin_periode,impaye_Fin_periode,nbr_impayes_periode,solde_moyen_mensuel,eng_cct,eng_cmt,eng_clt,Engagement_STB,Engagement_Secteur,anciennete_dern_eng_anticip,sortie_risque
0,4748,2,2019-12-31,1,2020-03-31,153,Z 510     ,76,61,Male,Particulier,0,5.0,-1,-1,1002.5,0,-93.98,1,650.0,-500.0,30,151,2,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,372.805,0.0,0.0,0.0,0.0,0.0,0.0,1
1,25361,3,2019-12-31,4,2020-06-30,0,Z 580     ,32,10,Male,Particulier,0,1.0,-1,-1,26.666666,0,-27.492,85,320.0,-35.422,1,8,2,0,0,0,0.0,0,0,1,4,0.0,0.0,0.0,-251.765,0.0,0.0,0.0,0.0,0.0,13.0,-1
2,58490,3,2019-12-31,1,2020-06-30,81,Z 510     ,40,19,Male,Professional,0,7.0,-1,-1,33.333333,0,-61.64,85,300.0,-150.037,2,29,2,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,-2269.873,0.0,0.0,0.0,0.0,0.0,0.0,1
3,92976,2,2019-12-31,1,2020-03-31,2,Z 580     ,73,44,Male,Professional,4,Indisponible,-1,-1,66.666666,0,-74.81,85,800.0,-500.0,1,20,1,0,1,0,0.0,0,0,0,2,0.0,0.0,0.0,-49.514,0.0,0.0,0.0,0.0,0.0,0.0,1
4,94379,4,2019-12-31,1,2020-06-30,2,Z 580     ,89,25,Male,Particulier,4,Indisponible,-1,-1,0.0,0,-16.66,85,0.0,-17.85,0,4,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,20.625,0.0,0.0,0.0,0.0,0.0,0.0,1
5,95487,2,2019-12-31,0,2020-09-30,2,Z 580     ,78,57,Male,Particulier,0,5.0,-1,-1,166.666666,0,-47.736,85,1000.0,-106.403,2,7,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-892.619,0.0,0.0,0.0,0.0,298.0,0.0,1
6,95845,2,2019-12-31,0,2020-03-31,2,Z 580     ,79,43,Male,Professional,0,5.0,-1,-1,87653.833166,0,-11569.654,95,255380.0,-570000.0,98,245,2,0,4,0,0.0,0,0,0,2,0.0,0.0,0.0,802.746,0.0,0.0,0.0,0.0,0.0,0.0,1
7,96513,2,2019-12-31,3,2020-06-30,2,Z 580     ,74,31,Male,Particulier,4,Indisponible,-1,-1,5016.666666,0,-15037.094,85,60200.0,-60000.0,1,10,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-124.616,0.0,0.0,0.0,0.0,0.0,0.0,-1
8,96531,4,2019-12-31,1,2020-06-30,2,Z 580     ,57,30,Male,Particulier,4,Indisponible,-1,-1,0.0,0,-16.66,85,0.0,-41.65,0,5,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,47.728,0.0,0.0,0.0,0.0,0.0,0.0,1
9,97843,4,2019-12-31,1,2020-06-30,2,Z 580     ,85,36,Male,Particulier,4,Indisponible,-1,-1,0.0,0,-16.717,85,0.0,-17.963,0,6,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.921,0.0,0.0,0.0,0.0,0.0,0.0,1
10,98338,4,2019-12-31,1,2020-06-30,2,Z 580     ,9,37,Male,Particulier,4,Indisponible,-1,-1,0.0,0,-16.66,85,0.0,-17.85,0,4,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,15.28,0.0,0.0,0.0,0.0,0.0,0.0,1
